19:49:03.848 INFO  accelarators.Base -setup -BEFORE CLASS EXECUTION STARTED SUCCESSFULLY
19:49:04.069 INFO  utilities.ConfigProperties -loadFrom -INTEND TO LOAD USER CONFIGURATION PARAMETERS FROM PROPERTIES FILE
19:49:04.070 INFO  accelarators.Base -notEmpty -INTENDED TO CHECK IF THE STRING IS EMPTY
19:49:04.070 INFO  accelarators.Base -notEmpty -STRING IS NOT EMPTY
19:49:04.071 INFO  accelarators.Base -notEmpty -SUCCESSFULLY CHECKED IF THE STRING IS EMPTY
19:49:04.071 INFO  accelarators.Base -formatGiven -INTENDED TO CHECK IF THE FILE NAME HAS THE FILE EXTENSION
19:49:04.071 INFO  accelarators.Base -formatGiven -FILE FORMAT IS PROVIDED WITH THE FILE NAME(config.properties)
19:49:04.072 INFO  accelarators.Base -formatGiven -SUCCESSFULLY CHECKED IF THE FILE NAME HAS THE FILE EXTENSION
19:49:04.072 INFO  accelarators.Base -getFileFormat -INTENDED TO RETRIEVE THE FORMAT OF THE FILE
19:49:04.072 INFO  accelarators.Base -getFileFormat -SUCCESSFULLY GOT THE FILE FORMAT(.properties) FROM THE FILE NAME(config.properties)

19:49:04.073 INFO  accelarators.Base -getFileFormat -SUCCESSFULLY RETRIEVED THE FORMAT OF THE FILE
19:49:04.073 INFO  accelarators.Base -fileFormatIs -INTENDED TO CHECK IF THE FILE BELONGS TO THE GIVEN FORMAT
19:49:04.073 INFO  accelarators.Base -fileFormatIs -EXPECTED AND ACTUAL FILE FORMATS ARE THE SAME
19:49:04.073 INFO  accelarators.Base -fileFormatIs -SUCCESSFULLY CHECKED IF THE FILE BELONGS TO THE GIVEN FORMAT
19:49:04.074 INFO  accelarators.Base -createFileInstance -INTENDED TO CREATE THE FILE INSTANCE
19:49:04.077 INFO  accelarators.Base -createFileInstance -FILE INSTANCE CREATED
19:49:04.077 INFO  accelarators.Base -createFileInstance -SUCCESSFULLY CREATED THE FILE INSTANCE
19:49:04.077 INFO  accelarators.Base -readFile -INTENDED TO READ THE GIVEN FILE
19:49:04.078 INFO  accelarators.Base -readFile -SUCCESSFULLY READ THE FILE(D:\WorkspaceProject\FlipKart\config.properties) SPECIFIED
